106/01/05,41000,34670,0.83,0.86,0.83,0.84,+0.05,7
106/01/06,98000,85700,0.89,0.93,0.83,0.83,-0.01,9
106/01/09,32000,24760,0.80,0.80,0.76,0.76,-0.07,2
106/01/10,5000,3900,0.78,0.78,0.78,0.78,+0.02,1
106/01/11,0,0,---,---,---,---,---,0
106/01/12,100000,66000,0.65,0.67,0.65,0.67,-0.05,2
106/01/13,0,0,---,---,---,---,---,0
106/01/16,0,0,---,---,---,---,---,0
106/01/17,50000,35500,0.71,0.71,0.71,0.71,-0.01,1
106/01/18,0,0,---,---,---,---,---,0
106/01/19,0,0,---,---,---,---,---,0
106/01/20,50000,25000,0.50,0.50,0.50,0.50,-0.12,1
106/01/23,0,0,---,---,---,---,---,0
106/01/24,0,0,---,---,---,---,---,0
106/02/02,0,0,---,---,---,---,---,0
106/02/03,5000,2200,0.44,0.44,0.44,0.44,+0.01,1
106/02/06,0,0,---,---,---,---,---,0
106/02/07,0,0,---,---,---,---,---,0
106/02/08,0,0,---,---,---,---,---,0
106/02/09,110000,44300,0.41,0.41,0.40,0.40,+0.03,2
