106/05/26,18000,164370,9.19,9.19,9.06,9.16,-0.12,10
106/05/25,4000,37110,9.35,9.35,9.24,9.28,-0.14,4
106/05/24,0,0,---,---,---,---,---,0
106/05/23,0,0,---,---,---,---,---,0
106/05/22,0,0,---,---,---,---,---,0
106/05/19,0,0,---,---,---,---,---,0
106/05/18,11000,101790,9.33,9.43,9.16,9.43,+0.23,9
106/05/17,6000,55510,9.27,9.27,9.20,9.20,-0.06,3
106/05/16,7000,64490,9.22,9.26,9.19,9.26,-0.14,7
106/05/15,1000,9400,9.40,9.40,9.40,9.40,-0.01,1
106/05/12,0,0,---,---,---,---,---,0
106/05/11,6000,55880,9.30,9.41,9.26,9.41,+0.02,5
106/05/10,22000,210530,9.58,9.74,9.39,9.39,-0.23,15
106/05/09,1000,9620,9.62,9.62,9.62,9.62,+0.14,1
106/05/08,6004,56846,9.52,9.70,9.26,9.48,-0.22,10
106/05/05,23002,225048,9.47,9.95,9.47,9.70,+0.23,13
106/05/04,5000,46890,9.24,9.47,9.24,9.47,-0.11,5
106/05/03,3000,28480,9.45,9.58,9.45,9.58,+0.05,3
106/05/02,10008,95886,9.55,9.67,9.53,9.53,-0.10,11
106/04/28,0,0,---,---,---,---,---,0
106/04/27,1000,9630,9.63,9.63,9.63,9.63,-0.18,1
106/04/26,7000,67740,9.48,9.81,9.48,9.81,+0.12,7
106/04/25,2287,22037,9.65,9.69,9.65,9.69,+0.04,3
106/04/24,2000,19170,9.52,9.65,9.52,9.65,-0.02,2
106/04/21,1010,9764,9.67,9.67,9.67,9.67,+0.02,2
106/04/20,3,27,---,---,---,---,---,3
106/04/19,1010,9744,9.65,9.65,9.65,9.65,0.00,2
106/04/18,5010,47841,9.51,9.65,9.51,9.65,+0.08,10
106/04/17,5000,47970,9.67,9.67,9.57,9.57,-0.19,4
106/04/14,3000,29240,9.70,9.78,9.70,9.76,+0.11,3
106/04/13,1000,9650,9.65,9.65,9.65,9.65,+0.09,1
106/04/12,43000,423570,10.05,10.05,9.56,9.56,+0.02,18
106/04/11,33000,320040,9.65,9.89,9.53,9.54,-0.11,14
106/04/10,13000,125140,9.60,9.79,9.60,9.65,-0.13,7
106/04/07,2000,19350,9.57,9.78,9.57,9.78,+0.21,2
106/04/06,4000,38450,9.60,9.72,9.56,9.57,-0.05,4
106/04/05,115000,1106370,9.80,10.00,9.55,9.62,+0.01,21
106/03/31,24001,232229,9.65,9.86,9.56,9.61,+0.06,18
106/03/30,20000,191080,9.42,9.65,9.40,9.55,+0.08,14
106/03/29,11000,103290,9.40,9.47,9.34,9.47,-0.09,10
106/03/28,4103,39007,9.50,9.56,9.49,9.56,-0.03,5
106/03/27,5000,47660,9.53,9.59,9.51,9.59,-0.09,5
106/03/24,3000,28870,9.59,9.68,9.59,9.68,+0.01,3
106/03/23,0,0,---,---,---,---,---,0
106/03/22,12000,115360,9.61,9.67,9.60,9.67,-0.09,8
106/03/21,20000,196160,9.76,10.15,9.61,9.76,+0.08,13
106/03/20,6000,57430,9.55,9.68,9.55,9.68,-0.02,5
106/03/17,3030,29232,9.55,9.70,9.55,9.70,-0.02,4
106/03/16,3000,28920,9.60,9.72,9.60,9.72,+0.05,3
106/03/15,0,0,---,---,---,---,---,0
106/03/14,17000,161670,9.50,9.67,9.50,9.67,-0.03,7
106/03/13,0,0,---,---,---,---,---,0
106/03/10,0,0,---,---,---,---,---,0
106/03/09,0,0,---,---,---,---,---,0
106/03/08,32000,310920,9.76,9.80,9.70,9.70,-0.10,10
106/03/07,33000,322480,9.75,9.99,9.71,9.80,+0.10,16
106/03/06,23000,224400,9.80,9.80,9.70,9.70,-0.10,13
106/03/03,95445,949167,9.83,10.20,9.78,9.80,+0.29,45
106/03/02,12000,114290,9.74,9.74,9.50,9.51,-0.23,6
106/03/01,14000,132940,9.43,9.74,9.42,9.74,+0.32,9
106/02/24,7000,66340,9.50,9.74,9.42,9.42,-0.18,7
106/02/23,17000,160880,9.52,9.60,9.10,9.60,-0.01,10
106/02/22,72000,691920,9.61,9.61,9.61,9.61,-0.13,3
106/02/21,0,0,---,---,---,---,---,0
106/02/20,16000,156000,9.75,9.75,9.75,9.75,0.00,2
106/02/18,1022,9968,9.75,9.75,9.75,9.75,+0.12,2
106/02/17,9060,86918,9.60,9.63,9.52,9.63,-0.03,9
106/02/16,57000,548260,9.57,9.66,9.54,9.66,+0.10,9
106/02/15,17000,162360,9.55,9.56,9.55,9.56,-0.06,5
106/02/14,7000,66910,9.54,9.62,9.54,9.62,-0.02,6
106/02/13,9030,86072,9.51,9.64,9.51,9.64,+0.11,10
106/02/10,7000,66770,9.55,9.55,9.53,9.53,-0.08,6
106/02/09,7000,67360,9.66,9.66,9.61,9.61,-0.13,5
106/02/08,23000,223420,9.67,9.80,9.61,9.74,+0.09,14
106/02/07,15000,142700,9.50,9.65,9.50,9.65,+0.11,9
106/02/06,13000,124170,9.54,9.68,9.54,9.54,0.00,6
106/02/03,0,0,---,---,---,---,---,0
106/02/02,1000,9520,9.52,9.52,9.52,9.52,-0.15,1
106/01/24,1000,9670,9.67,9.67,9.67,9.67,+0.16,1
106/01/23,1000,9510,9.51,9.51,9.51,9.51,-0.06,1
106/01/20,3002,28938,9.75,9.75,9.57,9.57,-0.06,5
106/01/19,4000,38600,9.71,9.71,9.63,9.63,-0.16,2
106/01/18,8000,77700,9.79,9.79,9.63,9.79,+0.02,8
106/01/17,0,0,---,---,---,---,---,0
106/01/16,0,0,---,---,---,---,---,0
106/01/13,0,0,---,---,---,---,---,0
106/01/12,0,0,---,---,---,---,---,0
106/01/11,130000,1252140,9.60,9.78,9.60,9.77,-0.02,10
106/01/10,0,0,---,---,---,---,---,0
106/01/09,260002,2488789,9.65,9.85,9.45,9.80,+0.08,24
106/01/06,5000,48600,9.72,9.72,9.72,9.72,-0.03,5
106/01/05,1000,9750,9.75,9.75,9.75,9.75,-0.09,1
106/01/04,0,0,---,---,---,---,---,0
106/01/03,1237000,12269280,9.92,9.99,9.82,9.84,+0.09,24
